scientificName,class,order,family,genus,specificEpithet,infraspecificEpithet,vernacularName,iucnGlobalStatus,iucnRegionalStatus,lastUpdate,,,,,,,,,,,,,,,
Fulica armillata,Aves,Gruiformes,Rallidae,Fulica,armillata,,gallareta grande,LC,,06/07/2019,,,,,,,,,,,,,,,
Fulica leucoptera,Aves,Gruiformes,Rallidae,Fulica,leucoptera,,gallareta ala blanca,LC,,06/07/2019,,,,,,,,,,,,,,,
Fulica rufifrons,Aves,Gruiformes,Rallidae,Fulica,rufifrons,,gallareta escudete rojo,LC,,06/07/2019,,,,,,,,,,,,,,,
Fulmarus glacialoides,Aves,Procellariiformes,Procellariidae,Fulmarus,glacialoides,,petrel plateado,LC,,06/07/2019,,,,,,,,,,,,,,,
Furnarius rufus,Aves,Passeriformes,Furnariidae,Furnarius,rufus,,hornero,LC,,06/07/2019,,,,,,,,,,,,,,,
Gallinago paraguaiae,Aves,Charadriiformes,Scolopacidae,Gallinago,paraguaiae,,becasina,LC,,06/07/2019,,,,,,,,,,,,,,,
Gallinula galeata,Aves,Gruiformes,Rallidae,Gallinula,galeata,,polla de agua,LC,,06/07/2019,,,,,,,,,,,,,,,
Gelochelidon nilotica,Aves,Charadriiformes,Laridae,Gelochelidon,nilotica,,gaviotín pico grueso,LC,,06/07/2019,,,,,,,,,,,,,,,
Geositta cunicularia,Aves,Passeriformes,Furnariidae,Geositta,cunicularia,,caminera,LC,,06/07/2019,,,,,,,,,,,,,,,
Geothlypis aequinoctialis,Aves,Passeriformes,Parulidae,Geothlypis,aequinoctialis,,arañero cara negra,LC,,06/07/2019,,,,,,,,,,,,,,,
Geothlypis velata,Aves,Passeriformes,Parulidae,Geothlypis,velata,,,NE,,06/07/2019,,,,,,,,,,,,,,,
Geranoaetus albicaudatus,Aves,Accipitriformes,Accipitridae,Geranoaetus,albicaudatus,,águila cola blanca,LC,,06/07/2019,,,,,,,,,,,,,,,
Geranoaetus melanoleucus,Aves,Accipitriformes,Accipitridae,Geranoaetus,melanoleucus,,águila mora,LC,,06/07/2019,,,,,,,,,,,,,,,
Geranoaetus polyosoma,Aves,Accipitriformes,Accipitridae,Geranoaetus,polyosoma,,aguilucho lomo rojo,LC,,06/07/2019,,,,,,,,,,,,,,,
Geranospiza caerulescens,Aves,Accipitriformes,Accipitridae,Geranospiza,caerulescens,,gavilán patas largas,LC,,06/07/2019,,,,,,,,,,,,,,,
Glaucidium brasilianum,Aves,Strigiformes,Strigidae,Glaucidium,brasilianum,,caburé,LC,,06/07/2019,,,,,,,,,,,,,,,
Gnorimopsar chopi,Aves,Passeriformes,Icteridae,Gnorimopsar,chopi,,mirlo charrúa,LC,,06/07/2019,,,,,,,,,,,,,,,
Griseotyrannus aurantioatrocristatus,Aves,Passeriformes,Tyrannidae,Griseotyrannus,aurantioatrocristatus,,tuquito gris,LC,,06/07/2019,,,,,,,,,,,,,,,
Gubernatrix cristata,Aves,Passeriformes,Emberizidae,Gubernatrix,cristata,,cardenal amarillo,EN,EN,06/07/2019,,,,,,,,,,,,,,,
Gubernetes yetapa,Aves,Passeriformes,Tyrannidae,Gubernetes,yetapa,,yetapá grande,LC,,06/07/2019,,,,,,,,,,,,,,,
Guira guira,Aves,Cuculiformes,Cuculidae,Guira,guira,,pirincho,LC,,06/07/2019,,,,,,,,,,,,,,,
